TABLE01_AD3_account_id,TABLE01_AD3_user_account_id,TABLE01_AD3_lifetime_amount
200016L_SILVER,LESLI L,30
200028M_BRONZE,MARLO R,2655
200053N_BRONZE,NELLA O,6
200116K_BRONZE,KAITLYN D,1250
200118M_BRONZE,MELYNDA N,5075
200152B_BRONZE,BUD I,1037.5
200210H_GOLD,HERLINDA O,355
200287A_BRONZE,ALYSE R,1250
200334L_BRONZE,LORAINE K,25
200425V_BRONZE,VON P,100
200429T_BRONZE,TYLER G,10
200439T_GOLD,TRACY X,10
200486J_GOLD,JENAE Y,35
200498B_GOLD,BEVERLY D,100
200603H_GOLD,HAILEY E,7
200611D_GOLD,DANNY K,200
200618M_GOLD,MARY J,325
200655P_GOLD,PABLO T,132.5
200660H_GOLD,HYMAN C,20
200676A_GOLD,ALANA B,5
200730R_GOLD,RAYE J,10
200740R_GOLD,REGINE R,25
200784F_GOLD,FELTON E,20
200797L_GOLD,LEONARD Z,20
200806D_GOLD,DEON X,23.47
200811Q_GOLD,QUEEN J,20
200822D_GOLD,DONITA N,20
200843A_GOLD,ALLISON Q,20
200858K_GOLD,KEELY C,160
200877K_GOLD,KRISTYN I,625
200888D_BRONZE,DARRON L,40
200947A_BRONZE,ARLA L,1152
200959T_GOLD,TRESSA Q,200
200962F_GOLD,FELECIA I,20
200983A_BRONZE,ANGLE W,70
200996P_BRONZE,PENNY H,250
201018L_BRONZE,LUCILLA R,50
201029M_BRONZE,MAURITA A,100
201063L_BRONZE,LIZETTE O,20
201088I_GOLD,ILA T,1300
201097R_BRONZE,ROSENA W,20
201131T_BRONZE,TAMMARA G,175
201135W_BRONZE,WANETA O,10
201148A_GOLD,ALANNA N,325
201160J_BRONZE,JAYE P,350
201227M_BRONZE,MERLE G,1130
201257C_BRONZE,CURTIS S,20
201275S_BRONZE,SAMMY W,20
201290N_BRONZE,NICKI S,150
201302n_BRONZE,nan U,55
201322R_BRONZE,RAVEN P,70
201335V_BRONZE,VETA Y,10
201438A_BRONZE,ARDITH J,30
201464A_BRONZE,ASTRID H,20
201512P_BRONZE,PAULA J,10
201547D_BRONZE,DAWN C,15
201564D_BRONZE,DANIKA O,2
201566P_BRONZE,PALMIRA S,10
201600J_BRONZE,JOHNATHON O,35
201613R_BRONZE,ROYCE Y,15
201627M_BRONZE,MELVA K,5
201637T_BRONZE,TASHA G,10
201652R_BRONZE,ROSELLE O,10
201669P_GOLD,PHYLISS N,10
201676N_GOLD,NOVELLA X,25
201716L_GOLD,LUNA T,25
201766B_GOLD,BRITANY J,7
201768M_GOLD,MADLYN E,475
201777M_GOLD,MARISA P,10
201789E_GOLD,ELDORA K,20
201792Z_GOLD,ZOFIA U,125
201798T_GOLD,TITUS V,109
201831M_GOLD,MEDA D,50
201865J_GOLD,JANUARY P,30
201883N_GOLD,NORINE L,60500
201903N_GOLD,NELIA S,55
201912I_GOLD,ISELA T,20
201913I_GOLD,INGA I,200
201916M_GOLD,MAXIMINA U,20
201924S_GOLD,SHERRI L,30
201937C_GOLD,CARMELO D,25
201948S_GOLD,SUK O,50
201962S_GOLD,SARITA A,10
201965A_GOLD,ANGELINA V,1105
201993D_GOLD,DINO T,100
202004D_GOLD,DENIS R,700
202046F_GOLD,FRANK N,20
202053B_GOLD,BRUCE S,20
202103L_GOLD,LENNIE T,50
202107P_GOLD,PAT T,50
202135R_GOLD,REBECKA Q,50
202135S_GOLD,SHAMIKA P,25
202154L_GOLD,LURLENE O,100
202160C_GOLD,CICELY B,200
202168B_GOLD,BEVERLEE H,20
202184J_GOLD,JACKIE K,90
202221K_GOLD,KATHARYN G,2500
202229J_GOLD,JOHN T,50
202234T_GOLD,TONISHA D,45
202245K_GOLD,KUM X,35
202279A_GOLD,ALYSHA X,2655
202317R_GOLD,RODOLFO I,6.15
202318D_GOLD,DANUTA E,20
202332L_GOLD,LUCIE W,25
202339H_GOLD,HANG U,100
202341D_GOLD,DELOIS C,75
202343M_GOLD,MERI V,20
202348M_GOLD,MARGUERITE D,355
202378F_GOLD,FELICITA A,445
202390V_GOLD,VANIA V,20
202396E_GOLD,EMOGENE K,45
202492C_GOLD,CARLETTA D,25
202528V_GOLD,VERLIE A,250
202554N_GOLD,NIESHA C,50
202566S_GOLD,SHERWOOD C,80
202576M_GOLD,MYRNA T,140
202577N_GOLD,NICHOLAS X,140
202617R_GOLD,REBECCA S,5075
202628S_GOLD,SHAROLYN D,10
202661B_GOLD,BRIGIDA T,10
202667S_GOLD,SHALA T,250
202670T_GOLD,TEODORO X,10
202724R_GOLD,REX F,10
202740L_GOLD,LUNA F,10
202743Q_GOLD,QUEENIE C,71
202747E_GOLD,EDYTHE X,200
202779T_GOLD,TAMESHA L,40
202784G_GOLD,GEOFFREY S,50
202872K_GOLD,KARENA A,325
202933J_GOLD,JACINDA W,1485
203010C_GOLD,CORNELIUS H,1900
203011K_SILVER,KARLA T,140
203036G_SILVER,GARRETT B,25
203050D_GOLD,DOTTIE L,50
203068S_SILVER,SHAREN Y,10
203099V_SILVER,VANESA Q,12
203122B_SILVER,BRITANY F,125
203139E_GOLD,ERASMO C,300
203170T_SILVER,TABATHA Z,71
203181E_GOLD,EVONNE X,1
203266H_GOLD,HEIDY M,30
203266T_SILVER,TOVA C,20
203270D_GOLD,DENNY H,50
203278G_SILVER,GAYNELL J,100
203285J_SILVER,JOHANNE C,35
203307H_GOLD,HILARY B,1595
203340F_SILVER,FLORENCIA L,80
203360A_SILVER,ANNAMAE T,100
203375P_SILVER,PAULINA F,35
203377N_SILVER,NAN R,9950
203414P_SILVER,PETRONILA C,100
203461M_SILVER,MITCHEL Z,45
203475A_GOLD,ADELL M,540
203535V_SILVER,VERENA M,100
203581Y_SILVER,YI C,80
203598R_SILVER,ROSAMOND S,35
203627V_SILVER,VIKKI L,109
203644N_SILVER,NAN B,10
203650E_GOLD,EUN P,20
203663O_SILVER,ONA O,20
203666C_SILVER,CASIE F,70
203680G_SILVER,GABRIELLA Y,50
203700J_SILVER,JONAH Z,350
203706C_SILVER,CARINA Q,120
203707V_SILVER,VALERIA I,16
203710H_GOLD,HARRIETT A,35
203732Y_SILVER,YUK R,1000
203743B_SILVER,BRIGID E,40
203782A_SILVER,ASTRID L,60
203797B_BRONZE,BERNADETTE A,100
203800W_GOLD,WEI R,110
203801S_BRONZE,SHERMAN N,30
203804A_GOLD,ALEX N,215
203856E_GOLD,EDIE S,575
203916J_BRONZE,JAUNITA H,25
203937L_BRONZE,LANELL C,50
203950D_BRONZE,DONG V,40
204005J_BRONZE,JARED J,35
204018J_BRONZE,JEREMIAH S,50
204023S_BRONZE,SO O,15
204028J_BRONZE,JERAMY S,10
204077H_GOLD,HESTER B,65
204093C_GOLD,CRISTEN G,66
204176H_GOLD,HERMINA Q,50
204186H_GOLD,HANA Q,35
204207H_GOLD,HILLARY I,18
204219H_GOLD,HARRY A,640
204307L_BRONZE,LOISE S,100
204338S_BRONZE,SHAINA N,700
204340S_BRONZE,SCOT C,50
204363S_BRONZE,SHERRY P,5555
204400J_BRONZE,JAMAR T,150
204520W_GOLD,WILLIAMS C,75
204534D_BRONZE,DARIN P,15
204542L_BRONZE,LINDSY Y,10
204548A_BRONZE,ALVERA N,50
204549B_BRONZE,BROOKE G,15
204551N_BRONZE,NINA F,200
